,matchLink,matchId,teamA,teamB,kefA,kefb,win
48,https://www.hltv.org/matches/2322000/astralis-vs-space-soldiers-dreamhack-masters-marseille-2018,2322000,6665,5929,1.53,2.41,0
49,https://www.hltv.org/matches/2322001/envy-vs-g2-dreamhack-masters-marseille-2018,2322001,5991,5995,3.51,1.27,0
50,https://www.hltv.org/matches/2322002/valiance-vs-sk-dreamhack-masters-marseille-2018,2322002,8481,6137,4.5,1.17,1
51,https://www.hltv.org/matches/2322095/property-vs-sj-betspawn-cup-nordic-vs-cis,2322095,5319,8504,1.67,2.09,0
52,https://www.hltv.org/matches/2322129/ldlc-vs-singularity-esportsbettingcom-launch-invitational,2322129,4674,6978,1.88,1.87,1
53,https://www.hltv.org/matches/2322003/tyloo-vs-renegades-dreamhack-masters-marseille-2018,2322003,4863,6211,2.58,1.46,1
54,https://www.hltv.org/matches/2322145/nemiga-vs-nexus-streamme-gauntlet-cis-vs-eu-20,2322145,7969,7187,2.78,1.39,0
55,https://www.hltv.org/matches/2322113/sinister5-vs-energy-esea-open-season-27-south-africa,2322113,8730,5153,5.46,1.13,1
56,https://www.hltv.org/matches/2322131/ldlc-vs-quantum-bellator-fire-esportsbettingcom-launch-invitational,2322131,4674,7367,1.74,2.03,1
57,https://www.hltv.org/matches/2322004/gambit-vs-space-soldiers-dreamhack-masters-marseille-2018,2322004,6651,5929,3.2,1.32,0
58,https://www.hltv.org/matches/2322153/kinguin-vs-singularity-starseries-i-league-season-5-europe-qualifier,2322153,6134,6978,1.52,2.44,0
59,https://www.hltv.org/matches/2322126/royal-bandits-vs-attackieren-gfinity-winter-series-2018-europe,2322126,8263,7946,2.14,1.64,0
60,https://www.hltv.org/matches/2322130/quantum-bellator-fire-vs-alternate-attax-esportsbettingcom-launch-invitational,2322130,7367,4501,2.55,1.5,0
61,https://www.hltv.org/matches/2322096/hey-vs-space-jam-betspawn-cup-nordic-vs-cis,2322096,8723,7017,1.65,2.13,1
62,https://www.hltv.org/matches/2322166/intz-vs-c4-esl-one-belo-horizonte-south-america-qualifier-2,2322166,6619,8051,1.58,2.26,1
63,https://www.hltv.org/matches/2322167/vns-sushi-ro-vs-sharks-esl-one-belo-horizonte-south-america-qualifier-2,2322167,9035,8113,3.89,1.19,1
64,https://www.hltv.org/matches/2322168/rogue-vs-teamone-starseries-i-league-season-5-north-america-qualifier,2322168,7157,6947,1.52,2.39,0
65,https://www.hltv.org/matches/2322152/eunited-vs-dignitas-starseries-i-league-season-5-north-america-qualifier,2322152,7106,5422,1.46,2.59,0
66,https://www.hltv.org/matches/2322005/faze-vs-cloud9-dreamhack-masters-marseille-2018,2322005,6667,5752,1.32,3.28,1
67,https://www.hltv.org/matches/2322006/mousesports-vs-nip-dreamhack-masters-marseille-2018,2322006,4494,4411,1.61,2.24,1
68,https://www.hltv.org/matches/2322007/fnatic-vs-natus-vincere-dreamhack-masters-marseille-2018,2322007,4991,4608,1.78,1.98,1
69,https://www.hltv.org/matches/2322124/spirit-vs-epg-legend-series-5,2322124,7020,7489,1.63,2.86,0
70,https://www.hltv.org/matches/2322008/liquid-vs-astralis-dreamhack-masters-marseille-2018,2322008,5973,6665,2.97,1.37,1
71,https://www.hltv.org/matches/2322132/avangar-vs-extatus-esportsbettingcom-launch-invitational,2322132,8120,6745,1.65,2.16,0
72,https://www.hltv.org/matches/2322125/k0pfsache-vs-epsilon-legend-series-5,2322125,8850,4688,19.26,1.02,1
73,https://www.hltv.org/matches/2322133/euronics-vs-fnatic-academy-esportsbettingcom-launch-invitational,2322133,6343,7169,1.34,3.07,1
74,https://www.hltv.org/matches/2322171/extatus-vs-windigo-starseries-i-league-season-5-europe-qualifier,2322171,6745,8513,3.03,1.35,1
75,https://www.hltv.org/matches/2322134/avangar-vs-euronics-esportsbettingcom-launch-invitational,2322134,8120,6343,1.67,2.13,1
76,https://www.hltv.org/matches/2322170/avangar-vs-x6tence-gocase-challenge,2322170,8120,4468,1.26,3.56,0
77,https://www.hltv.org/matches/2322106/singularity-vs-izako-boars-gocase-challenge,2322106,6978,7681,1.25,3.55,0
78,https://www.hltv.org/matches/2322187/teamone-vs-eunited-starseries-i-league-season-5-north-america-qualifier,2322187,6947,7106,2.18,1.64,1
79,https://www.hltv.org/matches/2322174/grayhound-vs-boot-ds-esl-pro-league-season-7-asia-pacific,2322174,8008,7567,1.33,3.22,1
80,https://www.hltv.org/matches/2322175/themongolz-vs-tainted-minds-esl-pro-league-season-7-asia-pacific,2322175,6248,7517,3.43,1.29,1
81,https://www.hltv.org/matches/2321706/eunited-vs-swole-patrol-gfinity-winter-series-2018-north-america,2321706,7106,7726,1.47,2.53,0
82,https://www.hltv.org/matches/2322172/5power-vs-roar-pro-gamer-league-asian-invitational-2018,2322172,7092,8587,1.21,3.82,0
83,https://www.hltv.org/matches/2322176/tainted-minds-vs-boot-ds-esl-pro-league-season-7-asia-pacific,2322176,7517,7567,1.32,3.24,0
84,https://www.hltv.org/matches/2322177/themongolz-vs-grayhound-esl-pro-league-season-7-asia-pacific,2322177,6248,8008,6.89,1.1,1
85,https://www.hltv.org/matches/2322173/vgflash-vs-fierce-tiger-pro-gamer-league-asian-invitational-2018,2322173,9037,9030,1.17,4.26,0
86,https://www.hltv.org/matches/2322178/boot-ds-vs-grayhound-esl-pro-league-season-7-asia-pacific,2322178,7567,8008,3.55,1.26,1
87,https://www.hltv.org/matches/2322014/envy-vs-faze-dreamhack-masters-marseille-2018,2322014,5991,6667,4.19,1.21,1
88,https://www.hltv.org/matches/2322015/sk-vs-mousesports-dreamhack-masters-marseille-2018,2322015,6137,4494,1.75,2.01,1
89,https://www.hltv.org/matches/2322016/renegades-vs-fnatic-dreamhack-masters-marseille-2018,2322016,6211,4991,4.03,1.23,1
90,https://www.hltv.org/matches/2322198/enyoy-vs-property-betspawn-cup-nordic-vs-cis,2322198,8721,5319,1.4,2.75,0
91,https://www.hltv.org/matches/2322154/epg-vs-gameagents-forcedropnet-cup-1,2322154,7489,6652,1.69,2.05,1
92,https://www.hltv.org/matches/2322188/pro100-vs-space-jam-starseries-i-league-season-5-cis-qualifier,2322188,7898,7017,1.23,3.85,1
93,https://www.hltv.org/matches/2322194/vega-squadron-vs-hollywood-starseries-i-league-season-5-cis-qualifier,2322194,6094,8847,1.46,2.63,1
94,https://www.hltv.org/matches/2322017/gambit-vs-liquid-dreamhack-masters-marseille-2018,2322017,6651,5973,2.98,1.37,0
95,https://www.hltv.org/matches/2322193/dzver-vs-invictus-aquilas-esports-balkan-league-season-2-closed-qualifier,2322193,8783,7870,2.9,1.36,1
96,https://www.hltv.org/matches/2322190/kon-sweden-vs-kon-denmark-king-of-nordic-season-11,2322190,6418,6417,1.37,2.8,1
97,https://www.hltv.org/matches/2322189/forze-vs-epg-starseries-i-league-season-5-cis-qualifier,2322189,8135,7489,2.77,1.42,0
98,https://www.hltv.org/matches/2322199/goodjob-vs-flipsid3-starseries-i-league-season-5-cis-qualifier,2322199,7820,5988,2.84,1.39,1
99,https://www.hltv.org/matches/2322191/kon-norway-vs-kon-denmark-king-of-nordic-season-11,2322191,6419,6417,1.79,1.94,0
100,https://www.hltv.org/matches/2322195/bpro-vs-xpc-esports-balkan-league-season-2-closed-qualifier,2322195,6762,4982,1.29,3.27,0
101,https://www.hltv.org/matches/2322192/kon-finland-vs-kon-norway-king-of-nordic-season-11,2322192,6420,6419,1.54,2.28,0
102,https://www.hltv.org/matches/2321973/virtue-vs-bulldozer-esl-brazil-premier-league-season-5,2321973,7830,9013,1.37,2.84,0
103,https://www.hltv.org/matches/2322139/splyce-vs-swole-patrol-starseries-i-league-season-5-north-america-qualifier,2322139,6301,7726,1.72,2.05,0
104,https://www.hltv.org/matches/2321974/bulldozer-vs-virtue-esl-brazil-premier-league-season-5,2321974,9013,7830,2.95,1.34,1
105,https://www.hltv.org/matches/2321975/csbl-vs-isurus-esl-brazil-premier-league-season-5,2321975,8900,7653,4.51,1.15,0
106,https://www.hltv.org/matches/2322179/order-vs-signature-esl-pro-league-season-7-asia-pacific,2322179,8668,6774,1.3,3.31,0
107,https://www.hltv.org/matches/2322180/mvp-pk-vs-scarz-absolute-esl-pro-league-season-7-asia-pacific,2322180,7354,7962,1.09,6.2,0
108,https://www.hltv.org/matches/2321976/isurus-vs-csbl-esl-brazil-premier-league-season-5,2321976,7653,8900,1.78,3.77,0
109,https://www.hltv.org/matches/2322140/complexity-vs-ghost-starseries-i-league-season-5-north-america-qualifier,2322140,5005,7801,1.37,2.92,0
110,https://www.hltv.org/matches/2322196/roar-vs-fierce-tiger-pro-gamer-league-asian-invitational-2018,2322196,8587,9030,3.18,1.31,0
111,https://www.hltv.org/matches/2322181/order-vs-mvp-pk-esl-pro-league-season-7-asia-pacific,2322181,8668,7354,1.76,2.07,0
112,https://www.hltv.org/matches/2322182/signature-vs-scarz-absolute-esl-pro-league-season-7-asia-pacific,2322182,6774,7962,1.22,4.36,0
113,https://www.hltv.org/matches/2322197/5power-vs-vgflash-pro-gamer-league-asian-invitational-2018,2322197,7092,9037,3.76,1.22,1
